,name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,extracted_ghz,brand,final_family,model_only,socket_final,category_final,speed_ghz,turbo_ghz,cost_per_rank_point,cost_per_core
0,AArch64 rev 2 (aarch64),,0.0,2021-02-01,Unknown,Unknown,2189.0,,1,8,1,2164,41,,AArch64,Specialized/Generic ARM,AArch64 rev 2 (aarch64),Unknown,Unknown,2.19,,,
1,AArch64 rev 4 (aarch64),,0.0,2021-01-01,Unknown,Unknown,2112000.0,,1,8,1,2400,81,,AArch64,Specialized/Generic ARM,AArch64 rev 4 (aarch64),Unknown,Unknown,2.11,,,
2,AC8257V/WAB,,0.0,2021-01-01,Unknown,Unknown,2001000.0,,1,8,1,3240,8,,Other,Specialized/Generic ARM,AC8257V/WAB,Unknown,Unknown,2.0,,,
3,AMD 3015Ce,,6.0,2021-07-01,FT5,Mobile/Embedded,1200.0,2300.0,1,2,2,2204,40,,AMD,Specialized/Generic ARM,3015Ce,FT5,Embedded/IoT,1.2,2.3,,
4,AMD 3015e,,6.0,2020-07-01,Unknown,Laptop,1200.0,2300.0,1,2,2,1918,20,,AMD,Specialized/Generic ARM,3015e,Unknown,Laptop,1.2,2.3,,
5,AMD 3020e,,6.0,2020-06-01,Unknown,Laptop,1200.0,2600.0,1,2,1,2008,126,,AMD,Specialized/Generic ARM,3020e,Unknown,Laptop,1.2,2.6,,
6,AMD 4700S,,0.0,2021-04-01,Unknown,Desktop,3600.0,4000.0,1,8,2,408,35,,AMD,Specialized/Generic ARM,4700S,Unknown,Desktop,3.6,4.0,,
7,AMD A10 Micro-6700T APU,,5.0,2015-05-01,FT3b,Laptop,1200.0,2200.0,1,4,1,2623,9,,AMD,Specialized/Generic ARM,A10 Micro-6700T APU,FT3B,Laptop,1.2,2.2,,
8,AMD A10 PRO-7350B APU,,19.0,2014-06-01,FP3,Laptop,2100.0,3300.0,1,4,1,2274,142,,AMD,Specialized/Generic ARM,A10 PRO-7350B APU,FP3,Laptop,2.1,3.3,,
9,AMD A10 PRO-7800B APU,,65.0,2014-10-01,FM2+,Desktop,3500.0,3900.0,1,2,2,1725,29,,AMD,Specialized/Generic ARM,A10 PRO-7800B APU,FM2+,Desktop,3.5,3.9,,
10,AMD A10 PRO-7850B APU,148.02,95.0,2014-11-01,FM2+,Desktop,3700.0,4000.0,1,2,2,1648,19,,AMD,Specialized/Generic ARM,A10 PRO-7850B APU,FM2+,Desktop,3.7,4.0,0.08981796116504855,74.0
